# Expression Atlas									
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 TPM in experiment E-GEOD-52564									
# Selected columns: 8 (all)									
# Timestamp: Fri, 08-Oct-2021 15:29:21									
Gene ID	Gene Name	astrocyte	endothelial cell	microglia	mixture	myelinating oligodendrocytes	neuron	newly formed oligodendrocytes	oligodendrocyte precursor cells
ENSMUSG00000041731	Pgm5	2	114	0.8	11	0.8	0.7	2	3
ENSMUSG00000041733	Coq5	22	15	17	28	13	36	15	28
ENSMUSG00000041734	Kirrel	11	3		10		8		3
ENSMUSG00000041735	AAdacl4fm3	0.9		0.5	0.7		0.9		
ENSMUSG00000041736	Tspo	6	53	57	10	2	5	2	6
ENSMUSG00000041740	Rnf10	73	103	82	147	96	142	121	136
ENSMUSG00000041741	Pde3a	19	5		6	0.7	6	3	9
ENSMUSG00000041747	Utp15	30	24	24	20	6	30	26	25
ENSMUSG00000041754	Trem3			1	0.8				
ENSMUSG00000041757	Plekha6	3		0.6	14	2	38	25	27
ENSMUSG00000041762	Gpr155	31	29	39	32	72	24	115	104
ENSMUSG00000041763	Tpp2	38	42	7	30	4	31	14	21
ENSMUSG00000041765	Ubac2	97	92	70	62	69	58	98	133
ENSMUSG00000041769	Ppp2r2d	56	57	22	44	36	79	41	48
ENSMUSG00000041771	Slc24a4	0.7			3		1	2	8
ENSMUSG00000041773	Enc1	19	139	49	383	13	213	48	193
ENSMUSG00000041774	Ydjc	0.5	0.7	2	12	2	13	2	2
ENSMUSG00000041775	Mapk1ip1	88	18	21	43	19	85	43	49
ENSMUSG00000041777	Cir1	12	10	2	11	5	23	9	9
ENSMUSG00000041779	Tram2	16	17	3	10	0.6	20	4	3
ENSMUSG00000041781	Cpsf2	28	28	11	42	8	37	20	37
ENSMUSG00000041782	Lad1	0.5		3	1	0.5	0.5	20	73
ENSMUSG00000041789	2700046A07Rik	7	4		2	16		4	2
ENSMUSG00000041794	Myrip	44	5	2	22	9	18	7	10
ENSMUSG00000041797	Abca9	1	2	75	14	1	1	1	26
ENSMUSG00000041798	Gck			2	1	0.6	3		0.6
ENSMUSG00000041801	Phlda3	11	7	2	18	508	36	264	70
ENSMUSG00000041809	Efhc1	7	3	0.8	5	0.7	2	1	3
ENSMUSG00000041815	Poldip3	59	34	84	44	31	75	69	63
ENSMUSG00000041817	Fam169a	5	2		24	0.5	46	12	30
ENSMUSG00000041827	Oasl1		0.6	4			0.9		
ENSMUSG00000041828	Abca8a	6			6	0.9	8	1	4
ENSMUSG00000041831	Sytl3	0.7							
ENSMUSG00000041836	Ptpre		3	10	19	6	26	49	44
ENSMUSG00000041837	Pdcd7	22	16	14	20	8	58	17	20
ENSMUSG00000041840	Haus1	5	8	1	5	3	3	3	6
ENSMUSG00000041841	Rpl37	100	506	385	220	168	211	163	205
ENSMUSG00000041842	Fhdc1	6	3		3	8	2	7	4
ENSMUSG00000041845	Rhod	3	108	0.5	7	0.7	4	3	4
ENSMUSG00000041846	Ppp4r3a	41	16	3	21	3	38	17	26
ENSMUSG00000041849	Card6	1	7	6	1				0.9
ENSMUSG00000041852	Tcf20	23	14	6	33	3	61	15	23
ENSMUSG00000041859	Mcm3	30	35	45	31	4	5	8	50
ENSMUSG00000041870	Ankrd13a	36	84	95	41	133	57	128	67
ENSMUSG00000041878	8430432A02Rik	2			0.9		1	0.5	2
ENSMUSG00000041879	Ipo9	108	78	47	99	46	125	70	93
ENSMUSG00000041881	Ndufa7	62	124	67	99	122	81	113	103
ENSMUSG00000041889	Shisa4	211	4	9	110	935	64	931	215
ENSMUSG00000041890	Git2	14	30	26	15	4	12	13	13
ENSMUSG00000041891	Lman1	51	48	16	26	3	23	17	38
ENSMUSG00000041895	Wipi1	51	57	4	25	47	10	47	34
ENSMUSG00000041907	Gpr45	1			6	3	9	4	7
ENSMUSG00000041911	Dlx1	2			67	0.9	205	0.5	1
ENSMUSG00000041912	Tdrkh	30	1	3	27	10	27	33	35
ENSMUSG00000041915	Ammecr1l	55	32	5	22	4	35	16	23
ENSMUSG00000041920	Slc16a6	17	33	59	14	1	6	4	13
ENSMUSG00000041921	Metap1d	63	6	5	19	9	41	21	22
ENSMUSG00000041923	Nol4	10			42	1	64	7	38
ENSMUSG00000041926	Rnpep	27	57	48	19	18	21	30	27
ENSMUSG00000041930	Fam222a	3	4	2	7	67	18	65	17
ENSMUSG00000041935	AW549877	186	42	10	66	33	103	105	92
ENSMUSG00000041936	Agrn	583	619	21	316	36	299	202	231
ENSMUSG00000041939	Mvk	148	46	13	72	160	57	133	45
ENSMUSG00000041945	Mfsd9	2	2		2	0.9	1	2	2
ENSMUSG00000041949	Tango6	4	8	3	4	1	3	2	4
ENSMUSG00000041954	Tnfrsf18	16	3	0.5	8		3	3	5
ENSMUSG00000041957	Pkp2	4	0.8		2		0.8		
ENSMUSG00000041958	Pigs	388	35	90	111	85	112	144	216
ENSMUSG00000041959	S100a10	3	16	24	57	4	29	0.7	11
ENSMUSG00000041961	Znrf3	68	10	2	15	3	10	8	10
ENSMUSG00000041966	Dcaf17	11	4	0.6	10	6	8	14	8
ENSMUSG00000041974	Spidr	8	6	5	5	3	3	7	11
ENSMUSG00000041975	Mettl8	12	5	2	8	8	9	12	12
ENSMUSG00000041977	Arhgef11	41	21	16	31	12	54	33	37
ENSMUSG00000041986	Elmod1	2	0.7	0.8	88	7	107	22	7
ENSMUSG00000041992	Rapgef5	2	130	42	35	23	9	19	18
ENSMUSG00000041995	Zbed3	54	45	17	28	9	48	42	62
ENSMUSG00000041997	Tlk1	53	42	7	50	10	47	30	44
ENSMUSG00000042002	Foxn4	0.8			1				
ENSMUSG00000042010	Acacb	2	11		2		0.7	4	2
ENSMUSG00000042015	Wdr41	27	10	17	25	22	30	33	43
ENSMUSG00000042029	Ncapg2	11	4	0.7	11	1	8	3	13
ENSMUSG00000042032	Mat2b	32	53	13	29	14	37	29	28
ENSMUSG00000042035	Igsf3	31	0.6		34	7	48	11	2
ENSMUSG00000042042	Csgalnact2	14	24	2	16	4	18	9	16
ENSMUSG00000042043	Tbca	123	399	96	313	66	352	124	183
ENSMUSG00000042045	Sln						1		
ENSMUSG00000042046	Dstyk	26	12	5	16	15	20	32	26
ENSMUSG00000042050	Wdr60	19	4	0.9	10	2	12	7	9
ENSMUSG00000042055	Wdr11	38	22	7	24	16	20	22	28
ENSMUSG00000042063	Zfp386	17	14	0.9	13	2	11	7	13
ENSMUSG00000042064	Myo3b	1			1		2		
ENSMUSG00000042066	Tmcc2	10	2	16	137	251	78	217	45
ENSMUSG00000042073	Abhd14b	19	4	1	9	5	17	5	1
ENSMUSG00000042078	Svop	1	0.8	7	78	8	106	6	42
ENSMUSG00000042079	Hnrnpf	19	39	19	23	9	18	27	28
ENSMUSG00000042082	Arsb	22	10	529	63	47	39	463	394
ENSMUSG00000042087	4933440N22Rik		4	1	1		0.7	0.7	0.6
ENSMUSG00000042097	Zfp239	5		0.6	12	13	8	12	14
ENSMUSG00000042099	Kank3	14	241	8	41	3	17	3	12
ENSMUSG00000042102	Dmgdh		2		0.9				
ENSMUSG00000042104	Uggt2	21	5	0.5	14	1	19	9	19
ENSMUSG00000042105	Inpp5f	53	28	4	105	46	274	32	55
ENSMUSG00000042106	Inka1	2	55	135	6	18	10	7	9
ENSMUSG00000042109	Csdc2	256	2	9	168	20	259	10	28
ENSMUSG00000042111	Ccdc115	21	27	33	27	21	40	36	41
ENSMUSG00000042115	Klhdc8a	1		3	14	2	20	0.8	2
ENSMUSG00000042116	Vwa1	14	1701	6	79	40	9	34	54
ENSMUSG00000042118	Bhmt2								0.7
ENSMUSG00000042121	Ssh1	15	15	8	13	5	16	11	13
ENSMUSG00000042129	Rassf4	0.5	4	45	9	4	41	4	22
ENSMUSG00000042133	Ppig	40	39	2	37	3	46	12	20
ENSMUSG00000042138	Msantd2	46	26	4	27	3	39	17	37
ENSMUSG00000042148	Cox10	63	15	11	25	11	21	18	22
ENSMUSG00000042155	Klhl23	39	22	3	114	3	63	18	50
ENSMUSG00000042156	Dzip1	51			50	2	32	22	39
ENSMUSG00000042165	Gm9774						1		
ENSMUSG00000042167	Tent2	37	27	9	25	6	29	19	26
ENSMUSG00000042178	Armc5	40	34	98	20	15	19	21	34
ENSMUSG00000042179	Pnliprp1						0.9		
ENSMUSG00000042182	Bend6	3	2	8	153	12	116	18	45
ENSMUSG00000042185	Nfrkb	34	15	10	19	5	25	18	21
ENSMUSG00000042189	Tekt3				1				
ENSMUSG00000042190	Cmklr1	0.6	26	188	5	0.6	20	0.5	10
ENSMUSG00000042195	Slc35f2	3	369	1	34	4	12	16	9
ENSMUSG00000042197	Zfp451	24	8	3	17	4	30	15	20
ENSMUSG00000042198	Chchd7	16	14	6	10	17	24	9	4
ENSMUSG00000042200	Cdrt4	2	0.5		2			0.5	2
ENSMUSG00000042202	Slc35e2	38	14	4	24	14	39	37	25
ENSMUSG00000042203	Tbc1d22b	38	16	12	42	47	62	55	37
ENSMUSG00000042207	Kdm5b	37	20	4	21	6	37	13	18
ENSMUSG00000042208	0610010F05Rik	23	22	2	65	12	69	27	21
ENSMUSG00000042210	Abhd14a	22	7	5	27	32	25	28	24
ENSMUSG00000042211	Fbxo38	56	27	13	34	16	38	32	38
ENSMUSG00000042213	Zfand4	18	3		8	1	6	4	6
ENSMUSG00000042215	Bag2	13	38	4	18	3	20	11	17
ENSMUSG00000042216	Sgsm1	2	0.7	1	26	4	103	8	32
ENSMUSG00000042225	Ammecr1	5	12		8	1	8	8	7
ENSMUSG00000042228	Lyn	19	113	290	33	3	3	4	45
ENSMUSG00000042229	Rabif	21	26	12	41	36	50	34	29
ENSMUSG00000042246	Tmc7	207	82	29	35	8	15	18	19
ENSMUSG00000042249	Grk3	224	0.6	13	53	2	69	10	26
ENSMUSG00000042251	Pm20d1	13			2		0.6	0.5	1
ENSMUSG00000042254	Cilp						3		
ENSMUSG00000042256	Ptchd4	38			5		15		1
ENSMUSG00000042258	Isl1				2		13		
ENSMUSG00000042265	Trem1			3					1
ENSMUSG00000042269	Fam92b	2			2		3		
ENSMUSG00000042271	Nxt2	50	19	8	44	17	44	44	67
ENSMUSG00000042272	Sestd1	40	44	0.8	50	5	48	22	33
ENSMUSG00000042275	Pelo	13	24	24	8	3	6	5	10
ENSMUSG00000042279	H1f8	0.5			0.6		4		
ENSMUSG00000042282	Gucy2f	9			4		1	3	18
ENSMUSG00000042284	Itga1	4	65		17		0.7		1
ENSMUSG00000042286	Stab1	2	122	433	28	2	2	1	19
ENSMUSG00000042292	Mrtfa	17	11	37	19	5	35	8	16
ENSMUSG00000042293	Gm5617	14	32	16	11	22	4	27	16
ENSMUSG00000042298	Ttc19	51	10	5	42	7	71	22	35
ENSMUSG00000042302	Ehbp1	88	10	1	48	4	52	19	26
ENSMUSG00000042303	Sgsm3	27	31	36	39	15	51	26	49
ENSMUSG00000042305	Tmem183a	105	88	31	133	43	141	72	86
ENSMUSG00000042306	S100a14	2	0.5		1	2		5	0.8
ENSMUSG00000042308	Setd1a	27	9	10	15	5	30	15	15
ENSMUSG00000042312	S100a13	97	512	70	178	223	24	556	651
ENSMUSG00000042320	Prox2	2	2	2	2	3	1	3	2
ENSMUSG00000042323	Pbrm1	73	55	5	51	6	64	30	38
ENSMUSG00000042328	Hps4	41	8	195	20	16	22	21	29
ENSMUSG00000042331	Specc1	114	2	18	38	58	7	105	43
ENSMUSG00000042333	Tnfrsf14	10	3	24	2				2
ENSMUSG00000042340	Ctf1	5	1	0.6	4	1	3	1	2
ENSMUSG00000042348	Arl15	14	56	6	38	3	28	20	36
ENSMUSG00000042349	Ikbke	4	0.6	3	2		0.8	0.6	0.6
ENSMUSG00000042350	Arel1	72	19	24	68	49	64	79	78
ENSMUSG00000042354	Gnl3	81	20	28	38	5	55	38	39
ENSMUSG00000042359	Osbpl6	21	3		16	1	16	7	19
ENSMUSG00000042363	Lgalsl	107	25	2	85	4	83	26	113
ENSMUSG00000042364	Snx18	48	60	87	35	23	26	73	48
ENSMUSG00000042369	Rbm45	56	44	18	55	33	60	69	76
ENSMUSG00000042371	Slc5a10			16					1
ENSMUSG00000042372	Dmrt3				0.5		46	1	6
ENSMUSG00000042377	Fam83g		1	25					0.6
ENSMUSG00000042379	Esm1	0.5	16		3		6		
ENSMUSG00000042380	Smim12	33	77	54	48	49	35	50	57
ENSMUSG00000042385	Gzmk				2		1		
ENSMUSG00000042388	Dlgap3	1	0.9	49	133	46	86	10	61
ENSMUSG00000042389	Tsen2	9	3	3	9	3	8	7	10
ENSMUSG00000042390	Gatad2b	41	21	9	33	9	59	36	33
ENSMUSG00000042396	Rbm7	74	56	9	37	13	52	37	47
ENSMUSG00000042401	Crtac1	2	1	1	40	43	61	17	17
ENSMUSG00000042404	Dennd4b	20	3	93	29	15	26	20	32
ENSMUSG00000042406	Atf4	1122	835	1115	324	247	767	387	449
ENSMUSG00000042408	Zmym6	31	7	2	15	4	15	18	20
ENSMUSG00000042410	Agps	31	22	13	31	25	44	55	33
ENSMUSG00000042417	Ccno	25	0.6		6		5	1	1
ENSMUSG00000042419	Nfkbil1	21	37	41	17	16	23	17	17
ENSMUSG00000042423	Fbrs	59	31	112	51	31	72	51	47
ENSMUSG00000042425	Frmpd3	5		1	8	2	32		2
ENSMUSG00000042426	Dhx29	30	13	5	29	9	19	25	28
ENSMUSG00000042428	Mgat3	71	1	3	91	149	117	183	123
ENSMUSG00000042429	Adora1	49	0.7	8	90	62	24	41	165
ENSMUSG00000042433	Pih1h3b				2				
ENSMUSG00000042436	Mfap4	3		0.8	17		13	0.8	40
ENSMUSG00000042439	Zfp532	95	18	7	29	12	25	26	22
ENSMUSG00000042444	Mindy2	46	42	12	41	7	70	27	63
ENSMUSG00000042446	Zmym4	51	28	6	38	5	53	21	35
ENSMUSG00000042447	Mios	22	13	1	18	3	18	12	20
ENSMUSG00000042448	Hoxd1					1			
ENSMUSG00000042451	Mybph	0.8		1					0.6
ENSMUSG00000042453	Reln	4	1		78		2665		1
ENSMUSG00000042460	C1galt1	27	35	2	32	7	20	39	69
ENSMUSG00000042462	Dctpp1	25	70	125	99	51	68	59	106
ENSMUSG00000042472	Zfp410	25	16	6	13	11	19	16	20
ENSMUSG00000042473	Tbc1d8b	6	15	1	7	2	3	7	13
ENSMUSG00000042474	Fcmr			3			0.5		
ENSMUSG00000042476	Abcb4	3		10	4	0.7	1	5	22
ENSMUSG00000042477	Tfap2e						1		0.5
ENSMUSG00000042485	Mustn1	2	7	3	2		3	0.5	0.8
ENSMUSG00000042487	Leo1	44	15	6	28	4	27	16	23
ENSMUSG00000042489	Clspn	7	3		6		0.9	0.7	7
ENSMUSG00000042492	Tbc1d10b	38	24	55	43	126	61	86	49
ENSMUSG00000042496	Prdm10	13	6	0.9	11	2	20	6	7
ENSMUSG00000042498	Radx				1				0.8
ENSMUSG00000042500	Ago4	21	5	3	15	1	27	8	20
ENSMUSG00000042502	Cd2bp2	74	63	34	65	61	103	74	86
ENSMUSG00000042505	Sdhaf3	6	4		6	2	6	4	6
ENSMUSG00000042506	Usp22	200	63	67	295	173	505	330	182
ENSMUSG00000042507	Elmsan1	33	18	59	20	19	54	13	14
ENSMUSG00000042508	Dmtf1	60	21	4	29	5	35	27	31
ENSMUSG00000042510	AA986860	5	1	0.9	1	14	2	7	2
ENSMUSG00000042514	Klhl14				3		2		
ENSMUSG00000042515	Pwwp3b	6	4		4		9	1	7
ENSMUSG00000042520	Ubap2l	29	17	18	26	7	37	20	28
ENSMUSG00000042523	Dnal1	27	10	2	47	8	48	13	22
ENSMUSG00000042524	Sun2	49	72	292	37	17	60	31	62
ENSMUSG00000042529	Kcnj12		0.9		4	3	9	7	2
ENSMUSG00000042532	Golga7b	2	0.6	20	93	18	98	3	15
ENSMUSG00000042535	Gtpbp1	59	39	100	63	15	86	44	77
ENSMUSG00000042540	Acot5				1				0.5
ENSMUSG00000042541	Sem1	38	180	35	60	45	65	87	72
ENSMUSG00000042548	Asxl1	52	43	32	39	7	71	36	35
ENSMUSG00000042549	Map2k3os	1	2	1	1	0.5	2	0.7	2
ENSMUSG00000042557	Sin3a	56	52	23	36	7	43	21	37
ENSMUSG00000042558	Adprhl2	58	28	62	36	15	51	28	56
ENSMUSG00000042564	Fam227a	7	0.9		5		8	1	2
ENSMUSG00000042567	Nek10				0.9		0.8		
ENSMUSG00000042569	Dhrs7b	28	28	37	22	45	23	36	34
ENSMUSG00000042570	Mier2	49	3	44	30	23	43	33	40
ENSMUSG00000042572	Ube2q1	42	55	66	46	29	63	54	58
ENSMUSG00000042579	4632404H12Rik	9	2	1	7	4	4	5	7
ENSMUSG00000042581	Thsd7b				8		112	3	15
ENSMUSG00000042589	Cux2	4		7	35	16	17	29	24
ENSMUSG00000042590	Ipo11	23	40	6	31	8	24	19	24
ENSMUSG00000042594	Sh2b3	12	52	187	33	8	11	22	36
ENSMUSG00000042595	Fam199x	15	5	0.6	10	2	14	7	11
ENSMUSG00000042596	Tfap2d				2		5		
ENSMUSG00000042599	Kdm7a	24	21	7	18	4	19	13	25
ENSMUSG00000042604	Kcna4	1			8	1	38	2	3
ENSMUSG00000042605	Atxn2	43	7	6	19	15	34	21	17
ENSMUSG00000042606	Hirip3	33	14	3	35	5	32	10	28
ENSMUSG00000042607	Asb4	2	192		12		3		
ENSMUSG00000042608	Stk40	60	45	147	34	21	71	35	44
ENSMUSG00000042613	Pbxip1	439	32	130	81	18	16	9	39
ENSMUSG00000042616	Oscp1	17	3	2	17	2	17	5	12
ENSMUSG00000042622	Maff	412	692	562	109	8	109	17	62
ENSMUSG00000042625	Safb2	93	13	34	49	12	59	44	41
ENSMUSG00000042626	Shc1	31	42	32	15	7	8	12	11
ENSMUSG00000042628	Zfyve1	33	23	20	19	36	39	30	25
ENSMUSG00000042631	Xkr7				6		17		0.5
ENSMUSG00000042632	Pla2g6	33	25	9	22	31	23	44	27
ENSMUSG00000042641	Rgsl1						0.6		
ENSMUSG00000042642	Flad1	39	8	14	21	18	30	26	29
ENSMUSG00000042644	Itpr3	0.9	24	24	4		0.6		2
ENSMUSG00000042647	Acad12	3	5	6	1	4	0.9	4	2
ENSMUSG00000042650	Alkbh5	117	73	85	54	53	80	121	80
ENSMUSG00000042655	Shisal2b				1		14		1
ENSMUSG00000042659	Arrdc4	23	10	28	28	6	28	23	32
ENSMUSG00000042660	Wdr55	16	16	12	22	28	20	24	24
ENSMUSG00000042662	Dusp15	21		0.7	25	140	16	354	46
ENSMUSG00000042670	Immp1l	64	116	24	60	88	66	89	77
ENSMUSG00000042671	Rgs8			0.8	11	0.9	22		1
ENSMUSG00000042672	Dcst1	0.7	0.5		2	2	3	2	1
ENSMUSG00000042675	Ypel3	82	60	153	98	131	311	79	113
ENSMUSG00000042677	Zc3h12a	5	11	355	12	3	0.7	2	21
ENSMUSG00000042680	Garem1	32	1	0.5	12	5	12	5	6
ENSMUSG00000042682	Selenok	345	332	106	229	347	244	372	289
ENSMUSG00000042684	Npl	31	22	353	33	4	5	6	26
ENSMUSG00000042686	Jph1	2	4		5	12	9	9	1
ENSMUSG00000042688	Mapk6	147	123	66	93	18	90	70	55
ENSMUSG00000042694	Stn1	6	21	6	10	17	8	8	6
ENSMUSG00000042699	Dhx9	93	75	21	101	22	128	75	84
ENSMUSG00000042700	Sipa1l1	19	12	20	35	3	24	6	31
ENSMUSG00000042705	Commd10	12	21	11	12	11	16	15	18
ENSMUSG00000042707	Dnali1	5			10		0.6		
ENSMUSG00000042708	Shcbp1l	0.7			3	1	3	3	1
ENSMUSG00000042709	Atpaf2	53	62	25	37	19	45	40	50
ENSMUSG00000042712	Tceal9	213	952	59	258	46	491	146	233
ENSMUSG00000042719	Naa25	24	9	4	20	2	28	15	16
ENSMUSG00000042724	Map3k9			12	23	1	61	5	19
ENSMUSG00000042726	Trafd1	52	25	96	60	11	137	35	71
ENSMUSG00000042729	Wdr74	52	37	44	45	37	68	66	60
ENSMUSG00000042734	Ttc9	10	1	3	48	14	104	14	38
ENSMUSG00000042737	Dpm3	25	93	44	45	49	31	53	70
ENSMUSG00000042742	Bmt2	28	16	2	23	4	45	17	26
ENSMUSG00000042743	Sgtb	39	28	3	46	10	162	16	36
ENSMUSG00000042744	Hectd4	32	9	8	50	16	73	32	35
ENSMUSG00000042745	Id1	339	192	12	99	5	39	4	13
ENSMUSG00000042747	Krtcap2	77	112	65	92	72	78	88	123
ENSMUSG00000042750	Bex2	109	10	15	437	71	1031	278	433
ENSMUSG00000042751	Nmnat2	10	0.6	2	77	6	67	36	118
ENSMUSG00000042757	Tmem108	4			12	9	7	72	8
ENSMUSG00000042759	Apobr	3		19	2	0.9	0.7	0.8	3
ENSMUSG00000042761	Mrap2			0.8	5		134		0.5
ENSMUSG00000042763	Maneal	28	0.5	1	60	33	98	50	148
ENSMUSG00000042766	Trim46	15	0.7	6	88	8	128	12	44
ENSMUSG00000042770	Hebp1	36	20	138	27	53	9	20	19
ENSMUSG00000042772	Smg7	102	36	27	59	16	92	73	72
ENSMUSG00000042784	Muc1	47	0.5		5	4	5	6	0.5
ENSMUSG00000042787	Exog	6	2	7	12	13	16	28	11
ENSMUSG00000042788	Fam166b	4	0.8		7	0.6	4		
ENSMUSG00000042790	Rnf214	34	15	7	28	14	50	24	23
ENSMUSG00000042793	Lgr6	108	0.9		11		4		1
ENSMUSG00000042797	Aqp11	2	21		6	2	6	2	4
ENSMUSG00000042800	Spata46	2		0.9	1		2		
ENSMUSG00000042804	Gpr153	50	2	46	57	6	33	11	39
ENSMUSG00000042807	Hecw2		9		11	3	13	4	10
ENSMUSG00000042810	Krba1	40	5	4	19	4	29	12	17
ENSMUSG00000042812	Foxf1	2	59		7		0.7		0.9
ENSMUSG00000042814	Mcts2	34	44	10	25	22	47	34	25
ENSMUSG00000042816	Gpr151	0.6			0.8		9		0.5
ENSMUSG00000042817	Flt3				0.9		0.7		
ENSMUSG00000042821	Snai1	2	4	3	1		6	2	
ENSMUSG00000042826	Fgf11	47	0.6	5	37	4	72	25	56
ENSMUSG00000042828	Trim72	0.7	2		1		3	1	
ENSMUSG00000042831	Alkbh6	22	22	27	19	20	28	23	26
ENSMUSG00000042834	Nrep	75	518	17	614	27	839	71	40
ENSMUSG00000042842	Serpinb6b	4	177		7		1		0.5
ENSMUSG00000042845	Wfdc12					0.5		2	
ENSMUSG00000042846	Lrrtm3	0.9		0.6	25	1	10	33	105
ENSMUSG00000042851	Zc3h6	11	4		6		12	1	3
ENSMUSG00000042854	Trp53rkb	3	0.7	1	2	0.5	2	2	2
ENSMUSG00000042857	Gm9776	5	3	4	5	3	4	5	5
ENSMUSG00000042870	Tom1	25	8	39	11	22	9	29	15
ENSMUSG00000042873	Lhfpl4	23		2	87	34	139	45	54
ENSMUSG00000042874	D930007J09Rik	5			2		2	0.5	2
ENSMUSG00000042901	Aida	24	24	3	27	10	41	18	21
ENSMUSG00000042903	Foxo4	32	45	31	30	81	17	50	49
ENSMUSG00000042918	Mamstr	1	5		3		2		
ENSMUSG00000042938	Gm14117	3	4	2	3	2	3	3	3
ENSMUSG00000042942	Greb1l				3		3	0.6	1
ENSMUSG00000042961	Egflam	2	61	0.6	13	3	2	21	4
ENSMUSG00000042962	Gm5436	30	45	14	51	39	61	33	47
ENSMUSG00000042976	9930038B18Rik		0.6						
ENSMUSG00000042978	Sbk1	66	1	18	478	148	363	190	202
ENSMUSG00000042988	Notum	14	146	0.5	17		0.8	0.5	1
ENSMUSG00000042992	Borcs5	11	6	8	17	37	22	39	34
ENSMUSG00000042993	Ifnk						0.6		
ENSMUSG00000042997	Nhlrc3	18	10	39	10	2	10	8	11
ENSMUSG00000043003	Rasef						0.7		
ENSMUSG00000043004	Gng2	10	17	30	301	3	524	11	54
ENSMUSG00000043008	Klhl6	1	107	102	16	0.8	1		9
ENSMUSG00000043015	Nemp2	7	4	3	7	3	10	6	16
ENSMUSG00000043017	Ptgir			0.6			1		
ENSMUSG00000043019	Edem3	74	41	5	51	9	56	44	56
ENSMUSG00000043020	Wdr63	3			5				
ENSMUSG00000043024	Gm16433	0.7			0.6			1	0.9
ENSMUSG00000043029	Trpv3	1			0.8	0.5		1	
ENSMUSG00000043051	Disc1	22	15	14	8		4	3	10
ENSMUSG00000043059	Zfp513	65	46	154	40	32	53	55	63
ENSMUSG00000043061	Tmem18	66	32	14	45	21	43	49	78
ENSMUSG00000043065	Spice1	16	10	2	10	5	8	6	13
ENSMUSG00000043067	Dpy19l1	37	24	11	43	215	69	214	77
ENSMUSG00000043068	Fam89a	4	2	10	6	6	1	30	65
ENSMUSG00000043079	Synpo	0.5	3	5	12	14	4	4	5
ENSMUSG00000043085	Tmem82	28		3	1		0.9		
ENSMUSG00000043088	Il17re		0.6						
ENSMUSG00000043090	Zfp866	20	2	2	15	2	17	9	19
ENSMUSG00000043091	Tuba1c	4	38	66	12	1	7	2	6
ENSMUSG00000043099	Hic1	2	30	3	6		0.6		4
ENSMUSG00000043102	Qrfp	0.6		0.6		0.6	0.5	1	
ENSMUSG00000043110	Lrrn4				0.5				0.5
ENSMUSG00000043122	A530016L24Rik		2						
ENSMUSG00000043131	Mob1a	76	103	99	65	12	38	42	75
ENSMUSG00000043140	Tmem186	15	6	7	16	6	16	8	14
ENSMUSG00000043153	Crppa	4	1		4	2	5	4	7
ENSMUSG00000043154	Ppp2r3a	21	8	0.9	20	24	22	64	21
ENSMUSG00000043155	Hpdl	3			2	2	1	2	2
ENSMUSG00000043157	Arl11			28	1				1
ENSMUSG00000043162	Pyurf	14	13	2	10	7	8	13	14
ENSMUSG00000043164	Tmem212	3	2		12				
ENSMUSG00000043165	Lor		6		16	2	14	6	11
ENSMUSG00000043168	4930426D05Rik				0.8		0.5		
ENSMUSG00000043183	Simc1	18	3	2	16	2	21	5	12
ENSMUSG00000043190	Rfesd	11	6	1	9	3	11	6	11
ENSMUSG00000043192	Gm1840	6	0.9	5	5	7	17	5	7
ENSMUSG00000043207	Zmpste24	82	43	12	32	15	21	41	62
ENSMUSG00000043230	Fam124b		51		5				
ENSMUSG00000043241	Upf2	47	31	2	29	4	27	14	24
ENSMUSG00000043243	Fam129c	16	0.9	6	7	1	8	5	7
ENSMUSG00000043251	Exoc3l	2	65		14	0.6	4	1	1
ENSMUSG00000043252	Tmem64	35	50	27	34	3	23	24	67
ENSMUSG00000043257	Pigv	22	4	22	10	11	7	13	13
ENSMUSG00000043259	Fam13c	128	32		28	9	15	41	19
ENSMUSG00000043262	Uevld	7	4	1	4	1	6	2	4
ENSMUSG00000043279	Trim56	11	19	4	9	0.5	10	1	4
ENSMUSG00000043284	Tmem11	56	92	72	38	27	63	47	53
ENSMUSG00000043289	Mei4						1		0.6
ENSMUSG00000043290	Zfp784	0.5					0.7		0.8
ENSMUSG00000043298	Smco3					3		1	
ENSMUSG00000043300	B3galnt1	3	4	20	53	7	91	14	46
ENSMUSG00000043301	Kcnj6				2		2		1
ENSMUSG00000043311	D17H6S53E	21	5	13	14	9	15	10	15
ENSMUSG00000043313	Pcdhb19	3	5		6	1	8	5	8
ENSMUSG00000043323	Fbrsl1	159	16	54	41	10	52	19	27
ENSMUSG00000043329	Gm8849	2	2	0.8		3	2	2	3
ENSMUSG00000043333	Rhbdl2	12	16		5	5	0.7	33	3
ENSMUSG00000043336	Filip1l	1	28	10	11	1	20	2	8
ENSMUSG00000043340	6530409C15Rik	9	1		2	1	3	4	2
ENSMUSG00000043372	Hexim2	11	2	5	12	3	24	3	7
ENSMUSG00000043384	Gprasp1	81	8	7	179	9	479	47	134
ENSMUSG00000043385	Olfr267						0.8		
ENSMUSG00000043388	Tmem130	2	2	3	214	6	896	5	27
ENSMUSG00000043391	2510009E07Rik	79	42	50	88	46	92	65	87
